Email,Phone,CreditScore,AgeGroup,FamilyBackground,Income,Comments,Intent
moliver@example.net,775-209-9405,845,51+,Single,538388,urgent need to buy,1
stephen00@example.org,+1-501-382-2121x809,768,36-50,Married with Kids,433344,not interested,0
barnesmonique@example.org,694.866.2649x03422,715,18-25,Married with Kids,524516,want to buy soon,1
nortonhannah@example.net,(609)310-5898,826,51+,Single,898923,need home loan,0
jessica89@example.net,(768)290-2032x85938,755,36-50,Married,511119,just browsing,0
nancyalvarado@example.com,(483)402-2402,566,51+,Single,930965,just browsing,0
waynechoi@example.org,9664153065,849,18-25,Married,475508,need home loan,0
nicole49@example.com,474-773-2412,627,51+,Single,288505,need home loan,0
evansdaniel@example.com,001-425-773-2736,352,51+,Married,778049,want to buy soon,1
benjaminlori@example.net,(256)644-8879,491,26-35,Married with Kids,918115,just browsing,0
deannalin@example.org,(455)368-3367x595,663,18-25,Single,300964,urgent need to buy,1
kevin68@example.com,001-657-952-7879x3581,312,51+,Married with Kids,740142,want to buy soon,1
onealcindy@example.net,(684)880-6805,430,36-50,Married with Kids,947321,just browsing,0
elizabethwood@example.com,879-945-8525x470,323,26-35,Married,482555,not interested,0
janice83@example.org,(929)717-1794,380,36-50,Married,644643,not interested,0
walkernicole@example.com,9468927598,615,26-35,Single,406347,want to buy soon,1
oowen@example.com,2774959866,307,26-35,Married with Kids,625309,urgent need to buy,1
vflores@example.org,487.744.8452x01139,393,18-25,Single,394449,not interested,0
schmidthaley@example.com,490-531-4546,360,51+,Married with Kids,403696,urgent need to buy,1
qbrewer@example.com,(921)644-3798x806,390,36-50,Married,133900,job relocation,1
fcabrera@example.com,469.349.9037x11578,515,26-35,Married with Kids,456124,not interested,0
kramos@example.net,+1-569-682-7968x34108,353,36-50,Married with Kids,183662,not interested,0
mosleykeith@example.org,+1-481-357-3279x090,588,51+,Married,668945,want to buy soon,1
michael61@example.com,3534077104,706,36-50,Single,280213,need home loan,0
amanda43@example.com,(746)491-0721,488,18-25,Married with Kids,851095,need home loan,0
debra58@example.org,2653813418,737,18-25,Married,397408,urgent need to buy,1
sarah84@example.net,436-754-1135,819,36-50,Married,969302,want to buy soon,1
hannajennifer@example.org,(964)322-4653x25065,414,18-25,Married,972685,just browsing,0
samantha05@example.org,+1-528-429-2840x6539,757,51+,Married,992722,need home loan,0
ericbartlett@example.net,229.974.6310x7722,570,51+,Married with Kids,325542,urgent need to buy,1
debra14@example.net,+1-957-899-7884x85837,524,26-35,Married with Kids,227675,need home loan,0
ocastro@example.net,339-405-3669,643,18-25,Single,610648,just browsing,0
cookrichard@example.com,2436674794,338,36-50,Married,924207,not interested,0
jose08@example.org,(690)815-0269,576,36-50,Married,911986,need home loan,0
hfitzgerald@example.net,832.453.6794,803,36-50,Single,502903,urgent need to buy,1
melissa65@example.com,495-879-7602x54497,340,26-35,Single,608185,job relocation,1
michelle09@example.net,9219040442,488,51+,Married with Kids,402437,job relocation,1
whitebrenda@example.com,(468)288-0925x215,505,18-25,Single,751950,urgent need to buy,1
lydiabarnes@example.net,207-934-3547,833,18-25,Married,906817,just browsing,0
hfreeman@example.com,5878699224,324,18-25,Married with Kids,321754,just browsing,0
diane90@example.net,+1-640-958-1200x92581,309,26-35,Single,488399,job relocation,1
yolanda97@example.org,(932)788-6715x431,682,26-35,Married,277874,need home loan,0
youngmariah@example.com,421.661.1010x508,451,36-50,Married with Kids,977745,just browsing,0
andrewhamilton@example.org,001-915-763-6482,794,36-50,Single,121532,want to buy soon,1
briangrant@example.net,(601)646-5558x9733,819,18-25,Married with Kids,128259,need home loan,0
anna77@example.com,001-942-570-8668x3145,780,36-50,Single,456823,urgent need to buy,1
davidlyons@example.com,703-408-9724x10412,592,18-25,Single,849787,want to buy soon,1
james61@example.com,001-688-989-6774x392,598,51+,Single,819147,just browsing,0
jasonpeters@example.net,382.981.0868,828,36-50,Married with Kids,598289,just browsing,0
karen21@example.org,894-217-8707,477,51+,Married with Kids,785095,just browsing,0
walkerdavid@example.net,858.982.6998x202,372,18-25,Single,864110,just browsing,0
kevindaniels@example.net,+1-859-369-2250,508,18-25,Single,168521,want to buy soon,1
griffinkristen@example.org,326-342-1151x9609,379,36-50,Married with Kids,111235,urgent need to buy,1
jennifer09@example.com,375.993.5601,624,36-50,Single,398249,need home loan,0
andrea26@example.net,819-417-6129x439,597,26-35,Married with Kids,265671,not interested,0
danielleharvey@example.com,869-705-4018,727,51+,Single,627317,want to buy soon,1
jason49@example.com,759.821.5158,378,36-50,Married with Kids,146807,urgent need to buy,1
mbrock@example.com,6816433234,353,18-25,Single,535695,not interested,0
thomas99@example.com,001-202-275-9481,419,51+,Married,529874,want to buy soon,1
matthew67@example.org,8853960376,572,51+,Married with Kids,220314,need home loan,0
alisondavis@example.org,296.670.6648x6874,757,18-25,Married,927226,want to buy soon,1
mswanson@example.org,(243)848-2828x5426,571,36-50,Single,206324,need home loan,0
harrisonamber@example.net,+1-288-414-8727x5570,325,18-25,Married,850647,urgent need to buy,1
dana81@example.net,929-755-9997,384,51+,Married with Kids,710317,not interested,0
christinespears@example.org,5504008981,570,36-50,Married with Kids,707389,urgent need to buy,1
webbsarah@example.org,2084249250,403,26-35,Married,379309,need home loan,0
chelseanichols@example.com,001-865-599-9138x98627,775,36-50,Married with Kids,799119,want to buy soon,1
ssherman@example.com,527-498-8385x25306,403,36-50,Married with Kids,516262,not interested,0
ortizlisa@example.com,777.323.3261x8275,811,51+,Single,367143,need home loan,0
zrobinson@example.net,860.447.4954x848,719,18-25,Married with Kids,361111,want to buy soon,1
oliviacunningham@example.net,+1-400-615-6441x31020,699,51+,Married with Kids,637380,want to buy soon,1
tara18@example.org,(206)931-8090,548,18-25,Married with Kids,926765,want to buy soon,1
wwilliams@example.net,001-919-282-8110,350,26-35,Married with Kids,134313,urgent need to buy,1
brooksbrian@example.net,001-629-436-6838x97735,793,18-25,Married with Kids,486408,urgent need to buy,1
hurleybryan@example.org,3526783790,604,26-35,Married,425803,want to buy soon,1
qdavidson@example.com,001-341-684-4554x54581,520,36-50,Married,204041,urgent need to buy,1
edowns@example.com,2266172431,610,36-50,Single,982738,need home loan,0
matthewjones@example.net,2702197971,794,36-50,Married with Kids,574734,need home loan,0
robertcook@example.net,300-435-7263x3269,807,18-25,Married,548764,need home loan,0
william71@example.com,793.362.8455,686,51+,Married,740601,not interested,0
hsmith@example.net,001-734-344-6071x583,684,26-35,Married,398167,job relocation,1
hartelizabeth@example.org,(495)808-3358x0656,569,26-35,Married,670599,want to buy soon,1
zparker@example.org,461.308.2152x225,603,18-25,Married,987672,not interested,0
alexandria81@example.com,001-399-982-5158x1899,449,36-50,Married,873135,urgent need to buy,1
nancy47@example.net,957-942-9822,537,36-50,Married,224448,need home loan,0
lhendricks@example.net,(697)239-5916,363,36-50,Married,932499,not interested,0
hallelizabeth@example.com,(907)396-9415,505,36-50,Married with Kids,118888,need home loan,0
kevinmalone@example.org,814.452.3963x28028,550,18-25,Married with Kids,609614,need home loan,0
karen45@example.net,204.607.8692x881,778,26-35,Single,120855,not interested,0
lcalderon@example.com,681.812.8368x92646,806,36-50,Married,615457,just browsing,0
vegajames@example.net,(997)210-8480x75715,787,51+,Married,454300,urgent need to buy,1
davisjennifer@example.com,338.877.4943x978,349,26-35,Married with Kids,214930,want to buy soon,1
jamesbishop@example.com,961.460.1823x885,635,18-25,Single,236822,just browsing,0
anthony69@example.org,225.519.0234x0492,397,51+,Married with Kids,441005,want to buy soon,1
steven73@example.net,+1-935-844-4976,318,18-25,Single,249666,job relocation,1
lindsey54@example.org,+1-497-631-3939x2858,813,36-50,Married,377081,just browsing,0
johnphillips@example.com,001-381-516-9910x3835,374,51+,Single,720092,just browsing,0
amy92@example.org,223.913.7460x02976,319,51+,Married with Kids,311391,job relocation,1
allentaylor@example.org,001-655-318-7242,345,36-50,Single,807217,want to buy soon,1
brendan80@example.com,562.627.6257,765,51+,Single,758627,not interested,0
jillstewart@example.com,841-879-5838x18376,339,26-35,Married,379148,need home loan,0
brownmichael@example.com,252.927.4906,415,18-25,Married with Kids,773535,job relocation,1
amandasmith@example.net,437-346-8848x97124,348,51+,Single,588936,just browsing,0
ujackson@example.org,948.666.0453,775,51+,Married,183235,urgent need to buy,1
sydney78@example.org,861-800-4805x907,720,26-35,Married with Kids,750710,urgent need to buy,1
scottjeffrey@example.com,278-277-8967,377,51+,Single,484387,need home loan,0
joshua38@example.net,(592)275-6157x9900,605,18-25,Single,385152,job relocation,1
mark53@example.com,676.809.3678x943,780,18-25,Single,673173,urgent need to buy,1
aimeehansen@example.net,(317)918-7204x6758,715,26-35,Married,819442,job relocation,1
russellsteven@example.net,(694)293-7023x324,741,18-25,Married with Kids,648548,job relocation,1
biancablanchard@example.org,671.366.9869x686,412,51+,Single,839133,need home loan,0
john32@example.net,(637)651-5777x244,711,51+,Married with Kids,994167,need home loan,0
aaronray@example.net,401-920-4027,809,36-50,Married,653176,job relocation,1
vaughntheresa@example.com,(833)866-8275x795,336,51+,Married,742323,want to buy soon,1
fsimmons@example.org,001-507-757-0773,602,18-25,Single,974165,job relocation,1
kathleen90@example.com,2386313054,553,51+,Married with Kids,892694,need home loan,0
wkennedy@example.org,(235)519-4792x436,590,36-50,Married with Kids,568427,want to buy soon,1
plewis@example.org,001-755-893-8156x404,312,51+,Married with Kids,460741,urgent need to buy,1
olsenanthony@example.com,611-621-3731x3035,361,18-25,Married,605404,job relocation,1
mgarza@example.org,363.534.3978,635,51+,Single,794856,need home loan,0
zpowers@example.net,001-796-961-3835x628,508,36-50,Single,540807,job relocation,1
jacobbrooks@example.net,(511)430-6522,550,26-35,Single,488440,urgent need to buy,1
vblack@example.com,523-894-2753x85036,605,26-35,Married,974145,need home loan,0
phanson@example.net,597.783.0231x12731,386,36-50,Married with Kids,438718,not interested,0
hmartinez@example.net,723.691.5772x1722,498,36-50,Married,410959,need home loan,0
michelle92@example.net,(322)701-7589,629,51+,Married with Kids,594698,job relocation,1
dwilliams@example.com,(959)759-9266x00440,429,26-35,Married with Kids,297903,not interested,0
robert06@example.org,740-984-7359,655,18-25,Married with Kids,793264,not interested,0
gdavis@example.org,001-466-301-0839x1003,686,18-25,Married,973381,job relocation,1
frichmond@example.net,001-215-209-6953x9005,488,26-35,Single,463206,job relocation,1
stephen40@example.net,359.544.5251x6005,391,18-25,Married with Kids,362278,want to buy soon,1
stacystephens@example.org,+1-788-582-4926x207,743,36-50,Single,455631,job relocation,1
hmurray@example.org,+1-691-863-3533x9273,762,26-35,Married,346320,urgent need to buy,1
steelemichelle@example.com,+1-517-261-8305x88559,709,18-25,Married,485268,need home loan,0
vball@example.com,277-760-2268,786,18-25,Married with Kids,986541,want to buy soon,1
garzajason@example.net,+1-588-277-9783x19977,416,51+,Married,294891,want to buy soon,1
michelle11@example.org,791-370-4248,586,51+,Married with Kids,734505,not interested,0
parsonsmatthew@example.net,581.304.2121x630,560,51+,Married,465708,urgent need to buy,1
austin67@example.net,880.756.9850x9892,347,26-35,Single,249409,want to buy soon,1
ijackson@example.net,001-588-513-6608x762,752,51+,Married,865304,just browsing,0
curtisjacob@example.com,549.874.9492x191,575,51+,Single,769551,job relocation,1
xlong@example.com,812.925.8812x3835,375,51+,Married,806837,job relocation,1
zstrong@example.com,001-409-741-6677x9792,456,51+,Single,878892,need home loan,0
